City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,saint-leu,-21.15,55.2833,23.48,96,100,0.77,RE,1680547210
212,boromo,11.75,-2.9333,35.82,8,4,4.02,BF,1680547211
213,adrar,20.5022,-10.0711,26.97,6,0,1.17,MR,1680547211
214,korbach,51.2756,8.873,2.68,71,7,2.98,DE,1680547212
215,camacha,33.0833,-16.3333,17.68,72,40,9.26,PT,1680547212
216,sao felix do xingu,-6.6447,-51.995,28.14,68,94,0.61,BR,1680547213
217,airai,-8.9266,125.4092,14.38,91,98,0.78,TL,1680547051
218,atlantic beach,30.3344,-81.3987,31.74,73,100,6.69,US,1680547213
219,zverinogolovskoye,54.4586,64.8542,1.53,77,3,3.17,RU,1680547214
220,raudeberg,61.9875,5.1352,5.37,71,48,7.93,NO,1680547214
221,nha trang,12.25,109.1833,27.0,90,30,1.74,VN,1680547214
222,yar-sale,66.8333,70.8333,-22.45,93,8,4.71,RU,1680547215
223,madisonville,37.3281,-87.4989,22.19,67,71,7.99,US,1680547215
224,jackson,42.4165,-122.8345,5.78,63,40,3.6,US,1680546938
225,saint-joseph,-21.3667,55.6167,23.21,82,100,3.0,RE,1680547216
226,atasu,48.6814,71.6433,1.55,48,0,6.69,KZ,1680547022
227,matara,5.9485,80.5353,24.97,87,72,0.56,LK,1680547217
228,santa maria da vitoria,-13.3947,-44.1886,32.75,33,89,1.19,BR,1680547217
229,lompoc,34.6391,-120.4579,15.01,54,20,12.35,US,1680547177
230,benghazi,32.1167,20.0667,16.37,69,3,11.21,LY,1680547218
231,torbay,47.6666,-52.7314,0.88,71,75,10.29,CA,1680547218
232,kismayo,-0.3582,42.5454,28.25,77,35,5.34,SO,1680547219
233,codrington,-38.2667,141.9667,10.68,91,60,1.97,AU,1680547219
234,nabire,-3.3667,135.4833,24.27,91,100,1.5,ID,1680547219
235,jumla,29.2747,82.1838,7.33,89,87,0.56,NP,1680547220
236,caravelas,-17.7125,-39.2481,25.15,83,100,4.43,BR,1680547220
237,yaan,7.3833,8.5667,32.82,40,100,3.99,NG,1680547220
238,kaura namoda,12.5898,6.5779,30.18,7,16,4.21,NG,1680547221
239,chunoyar,57.4467,97.3217,-2.08,94,100,5.41,RU,1680547222
240,ahipara,-35.1667,173.1667,16.63,65,58,4.85,NZ,1680547222
241,punta alta,-38.8759,-62.0736,23.37,67,0,5.77,AR,1680547223
242,along,28.1667,94.7667,13.94,95,95,0.65,IN,1680547224
243,los llanos de aridane,28.6585,-17.9182,20.07,79,20,8.75,ES,1680547117
244,shitanjing,39.2342,106.3439,2.29,91,100,2.97,CN,1680547224
245,victoria,22.2855,114.1577,22.76,95,97,6.83,HK,1680546936
246,paris,48.8534,2.3488,11.32,53,0,6.17,FR,1680546693
247,lufilufi,-13.8745,-171.5986,24.88,75,100,2.83,WS,1680547225
248,juneau,58.3019,-134.4197,3.56,89,0,1.54,US,1680547135
249,luderitz,-26.6481,15.1594,17.61,71,0,8.76,NA,1680547226
250,uinskoye,56.8817,56.5813,5.27,81,83,0.43,RU,1680547227
251,ilulissat,69.2167,-51.1,-7.99,53,20,8.75,GL,1680547155
